name,date,time,weight,bellyscore,feeding
L-097,1998-02-08,17:02,20.6,N,
L-097,1998-02-23,9:17,20.9,N,
L-097,1998-03-06,7:55,21.4,N,
L-097,1998-03-07,18:58,21.1,N,
L-097,1998-03-19,17:40,21.6,N,
L-097,1998-03-20,18:52,21.6,N,
L-097,1998-03-21,17:19,21.4,N,
L-097,1998-03-30,18:44,22.8,N,
L-097,1998-04-03,18:43,23.8,F,
L-097,1998-04-06,17:33,24.5,N,
L-097,1998-04-09,17:42,26.1,F,
L-097,1998-04-11,17:19,26.4,F,
L-097,1998-04-14,17:17,24.6,N,
L-097,1998-04-18,17:36,24.7,N,
L-097,1998-04-19,10:20,24.5,N,
L-097,1998-05-04,8:11,25.3,N,
L-097,1998-05-09,16:35,24.1,N,
L-097,1998-05-10,9:04,24.6,N,
L-097,1998-05-15,18:35,24.6,N,
L-097,1998-05-18,18:53,24.7,N,
L-097,1998-05-24,18:26,24.1,N,
L-097,1998-05-27,17:21,24.8,N,
L-097,1998-05-28,17:48,24.8,N,
L-097,1998-05-30,18:08,25.2,N,
L-097,1998-05-31,18:18,24.7,N,
L-097,1998-06-10,14:33,25.4,N,
L-097,1998-06-16,18:33,26,N,
L-097,1998-07-04,8:26,27.1,N,
L-097,1998-07-07,17:41,25.3,N,
L-097,1998-07-12,18:18,24.5,T,
L-097,1998-07-13,16:44,24.4,T,
L-097,1998-08-17,18:15,26.8,N,
L-097,1998-08-30,18:16,26.2,N,
L-097,1998-08-31,18:01,30.4,F,
L-101,1997-08-14,18:14,8.6,N,
L-101,1997-10-03,17:50,12.5,N,
L-101,1997-10-06,18:19,12.2,N,S
L-101,1997-10-07,17:54,12.1,N,
L-101,1997-10-10,18:47,11.9,N,
L-101,1997-10-11,18:35,12.1,N,
L-101,1997-10-12,18:43,12,N,
L-101,1997-10-21,17:25,12.5,N,
L-101,1998-02-03,7:53,23.3,N,
L-101,1998-02-06,19:02,22.8,N,
L-101,1998-02-08,17:03,24.8,N,
L-101,1998-03-06,8:32,26.9,N,
L-101,1998-04-12,18:20,28.6,N,
L-101,1998-04-15,18:24,28.6,N to F,
L-101,1998-04-18,17:32,30.9,F to B,
L-101,1998-05-27,18:47,32.4,N,
L-101,1998-05-28,18:15,31.4,N,
L-101,1998-05-30,18:39,31.2,N,
L-101,1998-06-03,18:12,31.7,N,
L-101,1998-06-16,18:13,32.2,N,
L-101,1998-06-18,18:37,36.2,F,
L-101,1998-08-17,18:53,33.1,N,
L-101,1998-08-28,18:24,38.5,F,
L-101,1998-09-15,7:10,37.8,N to F,
L-101,1998-10-23,18:06,35.4,N,
L-101,1998-12-05,18:33,40.5,N to F,
L-101,1999-04-25,7:34,60.8,B,
L-101,1999-05-21,7:38,60.6,F to B,
L-101,1999-06-04,7:12,50.3,N,
L-101,1999-12-29,19:04,57.8,N,
L-101,2000-02-21,18:50,74,B,
L-101,2000-02-25,18:24,68.7,N to F,
L-101,2000-09-24,8:45,72.9,N to F,
L-101,2000-09-30,18:20,73.1,N to F,
L-101,2000-10-07,7:35,76.7,F to B,
L-101,2000-10-10,18:07,74.7,F to B,
L-101,2000-10-14,6:50,70.7,N to F,
L-101,2000-10-15,6:25,72.5,N to F,
L-101,2000-10-21,17:44,73,N,
L-101,2000-10-22,6:40,78.3,F,
L-101,2000-10-26,7:46,77.1,F to B,F
L-101,2000-10-27,18:15,71.4,N,
L-101,2000-10-30,7:53,78.6,B,F
L-101,2000-10-31,17:57,72.3,N,
L-101,2000-11-02,18:19,74.1,N to F,
L-101,2000-11-02,18:40,74.7,N to F,F
L-101,2000-11-10,8:30,73,N,
L-101,2000-11-21,18:39,71.3,N,
L-101,2000-12-02,18:17,70.2,N,
L-101,2000-12-10,7:58,74.8,F to B,
L-101,2001-07-14,18:50,69.1,N,
L-101,2001-07-15,7:21,65.3,N,
L-101,2001-07-19,18:50,74,F,
L-101,2001-07-26,7:39,66.4,N,
L-101,2001-09-14,18:45,65.3,N,
L-101,2001-10-01,18:54,71.7,N to F,
L-101,2001-10-12,18:00,73,F,
L-101,2001-10-24,18:05,65.2,N,
L-101,2001-10-26,18:07,65.4,N,
L-101,2001-11-02,18:39,76.6,F to B,
L-101,2001-11-09,9:09,67.4,N to F,
L-101,2001-11-20,18:27,76.5,F to B,
L-101,2001-11-25,17:48,65.9,N,
L-101,2001-11-26,13:07,76.5,B,F
L-101,2002-04-08,7:12,77.3,F,
L-101,2002-04-18,9:28,65.6,N,
L-101,2002-04-20,18:00,66.6,N,
L-101,2002-04-22,17:40,63.6,N,
L-101,2002-04-24,17:52,63.2,N,
L-101,2002-04-27,17:49,62.7,N,
L-101,2002-05-06,18:30,61.1,N,
L-101,2002-05-13,18:15,69.9,N to F,F
L-101,2002-05-15,6:43,62.1,N,
L-101,2002-05-21,7:22,66,N,
L-101,2002-05-24,7:38,61.2,N,
L-101,2002-06-21,9:08,64.4,N,
L-101,2002-06-24,6:40,66,N,
L-101,2002-06-26,18:44,66.7,N,
L-101,2002-07-15,9:38,59.5,N,
L-101,2002-11-21,17:29,61.3,N,
L-101,2002-12-21,9:02,74,F to B,
L-101,2002-12-25,19:01,63.5,N,
L-101,2003-03-12,8:19,72.5,B,
L-101,2003-03-23,17:02,63,N,
L-101,2003-09-05,18:48,67,F,
L-101,2003-09-19,18:01,67.5,N to F,
L-101,2003-10-08,18:28,62,N,
L-101,2003-10-15,17:50,61.6,N,
L-101,2003-10-19,18:25,62.2,N,
L-101,2003-10-24,10:18,68.5,F,
L-101,2003-10-31,7:43,74.9,B,
L-101,2003-11-02,18:06,63,N,
L-101,2003-11-10,18:29,64.2,N,
L-101,2003-11-11,8:40,64.5,N,
L-101,2004-04-13,8:38,76.6,F to B,
L-101,2004-04-13,18:34,74,F,
L-101,2004-05-22,18:51,65.6,N,
L-101,2004-05-25,7:27,70.5,F,
L-101,2004-06-21,8:10,78.3,F to B,
L-102,1997-08-14,18:12,8.6,N,
L-102,1997-09-15,18:20,11.6,N,
L-102,1997-09-18,18:52,11.4,N,
L-102,1997-10-11,18:44,12.1,N,
L-102,1997-10-13,17:40,12,N,
L-102,1997-10-20,18:38,12.5,N,
L-102,1997-10-21,7:02,12.3,N,
L-102,1998-01-21,18:45,23.2,N to F,S
L-102,1998-01-25,19:05,22.4,N,
L-102,1998-01-28,9:19,23,N,
L-102,1998-01-30,8:04,24.9,F,S
L-102,1998-02-01,17:06,23.5,N,
L-102,1998-02-03,7:40,23.3,N,
L-102,1998-02-05,8:17,22.6,N,
L-102,1998-02-06,7:16,22.3,N,
L-102,1998-02-08,17:08,22.3,N,
L-102,1998-02-27,17:50,24,N,
L-102,1998-03-06,8:18,24.3,N,
L-102,1998-03-07,19:14,24.8,N,
L-102,1998-04-12,17:15,26.8,N,
L-102,1998-04-15,18:20,28,N to F,
L-102,1998-04-16,18:30,26.8,N,
L-102,1998-04-18,17:34,29.2,F to B,
L-102,1998-04-29,9:17,31.2,F,
