injuryID,date,time,ID,description,cause,bodypart,sizeincm,consequences,comments,observer
in0742,2011-07-29,10:25,M-239,"limping badly with lfl, left ellbow swollen",?,lfl,swollen,limping badly,,
in0743,2011-07-30,7:10,E-142,"limping badly with lhl, leg could be broken, wound visible inside leg",?,lhl,2x2,"limping badly, knee or leg looks broken",,
in0744,2011-08-03,7:07,L-298,quite fresh open wound on left side bum,hy?,left side bum,3x3,licks it at 14:20,"there is already some crust around the wound, suggesting that it is several days ol",
in0745,2011-08-05,8:12,L-316,"quite fresh open wound on right side bum, maybe 1 day old",hy?,right side bum,3x3,,,
in0746,2011-08-09,8:33,S-101,"old, healed wounds above right shoulder, on right hip and left ellbow",?,right side shoulder + hip + left ellbow,4x4,,,
in0747,2011-08-18,8:30,E-103,limping badly with lfl,?,lfl,-,"limping badly, not standing on leg",,
in0748,2011-08-23,7:20,L-386,quite fresh open wound on lfl,?,"lfl, below shoulder",3x4,,,
in0749,2011-08-27,9:25,L-377,coughing a lot,disease,-,-,coughing,,
in0750,2011-09-06,10:10,L-394,limping with rhl,?,rhl,-,limping quite badly,,
in0751,2011-09-12,9:34,L-243,"fresh open wound on lfl, front",?,"lfl, front",3x3,-,,
in0752,2011-09-18,6:28,M-278,limping with rfl,,rfl,,limping quite badly,-,
in0753,2011-09-18,6:50,L-255,"open wound/puncture holes, a bit swollen",,rhl,2 holes of 2x2,-,-,
in0754,2011-09-25,9:13,L-308,bloody wound on left side of neck + possible crust (or tick),is establishing himself into shamba clan,neck,4cm,,wound not very clear,
in0755,2011-09-26,6:45,L-148,"open wound on bum, fresh",hy,left side bum/hl,4x2,-,,
in0756,2011-09-26,8:09,N-164,several old wounds around right ear and neck,hy,right side neck and around right ear,2x2,-,,
in0757,2011-09-28,7:20,A-253,swollen right foot,?,right foot,,limping quite badly,,
in0758,2011-09-28,9:57,A-274,"broken leg, swollen foot",hy?,lhl,,limping heavily,leg looks completely broken just under knee,
in0759,2011-09-29,6:27,M-300,"open wound, mainly superficial",hy,le si of neck,5x15cm,none,,
in0760,2011-09-30,6:36,L-137,deep open wounds below right achselhoehle,?,right achselhoehle,"3 holes, 1x2",licks wound from time to time,,
in0761,2011-10-08,9:00,L-102,"several open wounds, puncture holes on back, between shoulders",hy,"on back, between shoulders",1x1,-,,
in0762,2011-11-16,7:05,M-249,limping,?,lhl,-,limping quite badly,,
,2011-11-16,9:44,M-228,"skinny,bad shape",disease,,,,,
in0763,2011-11-25,9:15,E-196,foot of lhl missing,snare?,foot of lhl,-,"limping, tries not to stand on it, thus might be quite recent",,
in0764,2011-11-27,7:47,L-316,"rhl toe missing, healed",?,rhl,-,-,,
in0765,2012-04-06,6:42,L-192,"circle open wound, maybe only superficial part of skin off but flesh visble",fight with hyenas at kill,right front armpit,,intruding into Ngoitokitok territory at buffalo kill,,
in0766,2012-04-20,8:50,S-152,"hole and cut on left cheek + eye, can only be one or two days old",warthog?,left cheek/eye,10,"covers wound/eye with fl, cannot see, unclear whether left eye is affected as injured and swollen eye lid covering eye",see pictures,
in0767,2012-04-20,9:40,L-410,"patch of skin on right ellbow missing, quite fresh but not really bleeding",?,rfl,4x5,,see pictures,
in0768,2012-04-28,8:06,S-152,"fresh bite wound, piece of skin missing",hy,"lhl, inside",3x3,-,,
in0769,2012-05-01,,L-205,small fresh wound on hip,?,left side hip,1x1,-,,
in0770,2012-05-01,,E-089,quite fresh wound on right side of bum,hy,"right side bum, where he has been bitten before",4x4,-,see pictures,
in0771,2012-05-12,12:15,M-282,"swollen open wound, quite fresh",?,rfl,3x3,limping quite badly,,
in0772,2012-05-13,7:25,M-234,fresh open wound/cut on right front leg,,rfl,2x4,limping badly with rfl,,
in0773,2012-05-25,7:10,A-322,"is very lethargic, moves only very little, can hardly gu and walk, first does not drink from mother a-116, but eventually does, a-116 and other members went to sniff it several times",disease,-,-,,seen last on this date,
in0774,2012-05-25,7:40,A-320,"is lethargic, not moving much, vomits with difficulties, does not play with other cubs, belly seems very full/bloated, does not fully open eyes",disease,-,-,,seen last on this date,
in0775,2012-05-25,8:20,A-322,"seems well-fed but is lethargic, does not su from a-116, does not play or interact with mother or other cubs, just l around close to dh",disease,-,-,,seen last on this date,
in0776,2012-05-27,10:17,A-246,"fresh open wound on hip, still bleeding",?,right side hip,2x2,-,,
in0777,2012-09-19,7:07,S-147,fresh deep large snare wound around neck,snare,neck,around neck,"is quite skinny and seems tired/apathetic, snare not attached any more",see pictures,
in0778,2012-09-26,8:37,L-413,"open wound on rfl, about 2 days old, skin ripped down to foot",?,rfl,skin ripped down 6cm,"limping baldy, not standing on leg",,
in0779,2012-10-01,7:10,L-191,coughing,disease,-,-,coughing,,
in0780,2012-10-02,8:16,L-082,fresh open wound on lhl inside,hy,lhl inside,2x3x3,limping slightly,must be from last night,
in0781,2012-10-05,8:17,L-126,"fresh open wound on head, swollen head, right eye closed, bleeding from front + around eyes",hy,,,,,
in0782,2012-10-11,7:05,M-262,fresh cut below right eye,?,just below right eye,1x3,,,
in0783,2012-10-11,7:20,S-085,limping,hy? still from when he was beaten up by other males?,lhl,,limping quite badly,,
in0784,2012-11-01,8:47,M-240,cut on nose,?,nose,1x5,-,,
in0785,2012-11-06,8:53,S-138,"fresh wounds/puncture holes around right ear, on rhl + on udder, still bleeding",hy,"around right ear, on rhl, on udder",1x1,"licks wounds, especially the one on udder",cubs su,
in0786,2012-11-26,7:04,L-403,limping,?,,,,,
in0787,2012-11-26,7:04,L-277,bite wound on bum,,,,,,
in0788,2013-02-12,14:55,M-240,"deep wound on hip, fresh",,,,,,
in0789,2013-02-23,07:25,A-259,"right jaw seems swollen or slightly dislocated, A-259 seems a bit apathetic",disease,,,,,
in0790,2013-03-04,07:39,M-239,"several fresh puncture holes on hls, bum, feet",hy,,,limping with lhl,,
,2013-03-21,06:56,N-187,with streptococcus swelling,"disease, Streptococcus",,,,see pictures,
,2013-04-25,09:27,L-349,with streptococcus swelling,"disease, Streptococcus",,,,see pictures,
