injuryID,date,time,ID,description,cause,bodypart,sizeincm,consequences,comments,observer
in0881,2019-11-14,8:05,L-514,"coughing quite badly, repeatedly",disease,lungs?,,"coughing repeatedly, licking liquid dripping from nose",,OH
in0882,2019-11-14,9:33,L-501,"fresh, deep, large wound on right thigh",warthog? Wildebeest?,"RHL, thigh",6x5,nothing obvious,,OH
in0883,2019-11-14,16:55,M-295,"limping, foot on right HL swollen",HY?,"RHL, foot",,"limping quite badly, foot swollen",she likely was bitten in the foot by other HY,OH
in0884,2019-11-21,15:48,L-519,"bleeding from muzzle, very fresh",HY,muzzle,,"seems irritated, does not open mouth properly",,OH
in0885,2019-11-30,9:29,F-140,fresh wound on right buttock,HY ,buttocks,5x4,no visible effects/signs,possibly bitten by female or other male hyena,AD
in0886,2019-12-09,7:25,F-278,"curved gash, about 5 cm long, not deep ",WH?,throat,5x1,"gash/wound is still wet, but seems to be healing",,AD
in0887,2020-03-04,15:30,S-193,swelling on head,"disease, Streptococcus",head/neck,,resting,,PN
in0888,2020-03-05,9:10,A-476,"wounds inside RFL, not fresh but still pink. Plus healed wound below cheek (from Streptococcus infection?)",HY?,"RFL, inside",2x3,no visible effects/signs,,OH
in0889,2020-03-07,6:46,S-234,swelling on head/neck,"disease, Streptococcus",head/neck,,no visible effects/signs,,PN
in0890,2020-03-08,8:53,A-305,"limping with LHL, foot swollen",?,"LHL, foot",,limping,,OH
in0891,2020-03-08,9:04,A-378,"limping with LHL, fresh blood on lower part of leg",?,LHL,,limping quite badly,,OH
in0892,2020-03-08,9:25,A-338,coughing,"disease, Streptococcus",lungs?,,coughing several times while resting,,OH
in0893,2020-03-10,7:17,E-295,fresh puncture hole on right ellbow,?,right ellbow,1x2,licking it,,OH
in0894,2020-03-14,8:21,S-188,fresh severe wounds around both ears and between ears,hy,around and between both ears,see pictures,holding ears down,was on intrusion in A-terr. Several other Shambas also intruded and rested close-by,OH
in0895,2020-03-15,6:48,M-295,swelling on head/neck,"disease, Streptococcus",head/neck,,no visible effects/signs,,PN
in0896,2020-03-27,11:28,F-214,swelling on the neck,"disease, Streptococcus",head/neck,,no visible effects/signs,,PN
in0897,2020-03-27,13:21,L-321,"floppy right ears, fresh wound at the base of the ear",HY?,head,,walking slowly. Right ears no longer erect,,PN
in0898,2020-07-15,7:17,A-517,limping on FRL,?,FRL,,"walking slowly, rests.",,PN
in0899,2020-07-16,7:07,M-421,"right ear completely removed, big fresh wound",HY?,head,,"isolates herself from other, resting most of the time.",possibly bitten by other individuals,PN
in0900,2020-07-17,17:01,M-421,torn right ear,HY?,head,,resting,,PN
in0901,2020-08-24,7:50,N-143,3 fresh puncture holes on LHL,Lions?,LHL hip,,limping with LHL,,PN
in0902,2020-09-13,17:47,M-381,tail gone,hy?,tail,,no visible effects/signs,,PN
in0903,2021-08-22,7:15,A-532,deep fresh open wound/large puncture hole on left shoulder,"could be lions but possibly also from a horn (WH, WI?)",left shoulder,2x2,walking a bit slowly/cautiously,"could be lions but possibly also from a horn (WH, WI?)",OH+ED
in0904,2021-08-23,6:50,S-259,"fresh wounds on foot pads, one partly ripped off",HY,foot RHL,,limping with RHL,,OH+ED
in0905,2021-08-25,9:10,S-265,"limping, wound under left ear",?,below left ear and on rhl,,limping with RHL,,OH+ED
in0906,2021-08-28,7:31,A-537,"severe fresh wounds on neck, hip, hind legs",lions?,"neck, hip, hind legs",,"hardly moving, losing a lot of blood, bleeding from nose",,OH+ED
in0907,2021-09-02,7:57,A-313,fresh open cut below left eye,?,below left eye,,"no visible effect, tissue below eye swollen, keeps eye a bit closed",,OH+ED
in0908,2021-09-03,7:06,X-083,Fresh blood on the shoulder and hip,lions,shoulder/hip,,no visible effects/signs,bitten by lionesses at the Eq carcass,PN
in0909,2021-09-04,7:35,E-277,fresh pucture holes on right side,?,,,,,OH+ED
in0910,2021-09-05,9:11,A-541,"fresh wound on front between ears, patch of skin missing",hy,front head between ears,4x2,"open wound, still oozing, with flies",,OH+ED
in0911,2021-09-07,6:50,S-181,hairless back and swollen nodes below muzzle/neck,?,,,,,OH+ED
in0912,2021-09-07,7:47,A-390,limping quite badly with hl,?,,,,,OH+ED
in0913,2021-09-17,8:30,A-541,"fresh, new wound on front in addition to that seen on 2021-09-05",hy,front head between ears and eyes,4x2 + 2x2,"open wound, still oozing, with flies",,OH+ED
in0914,2021-09-23,8:21,A-262,"with fresh, very bad injuries on right side of neck/shoulder, still bleeding",lion,right neck/shoulder,,"lethargic, didn't want to get up, walking very slowly, then with difficulties to ld",,OH+ED
in_20220307__A-257,2022-03-07,,A-257,"right side muzzle swollen, fresh wounds on right cheek, right eye milky",?,right cheek,,,,
in_20220302_0722_S-371,2022-03-02,7:22,S-371,"intrusion, has wounded ears probably from interaction at kill with Lemalas",,,,,,OH+ED
in_20220413_1006_F-224,2022-04-13,10:06,F-224,big puncture holes on left hip,,,,,,OH+ED
in_20220418_0858_S-275,2022-04-18,8:58,S-275,wound on throat,,,,,,OH+ED
in_20220520_0704_M-509,2022-05-20,7:04,M-509,seems very lethargic,disease,,,,,PN
in_20220820_0745_F-146,2022-08-20,7:45,F-146,a snare wound around the neck,?,around the neck,,"healing, no effects as wound is drying",,PN
in_20220824_0658_A-339,2022-08-24,6:58,A-339,fresh wound on the nose,hy?,dorsum ,,swollen dorsum.,,PN
in_20230110_S-412,2023-01-10,6:58,S-412,"seems apathetic, does not move, does not get up when S-365 comes and gently bites its back",disease,,,"lethargic, does not move, only got up when warthog approached den",,OH+ED
in_20230118_L-517,2023-01-18,7:49,L-517,limping with RFL,,RFL,,limping,,OH+ED
in_20230131_A-383,2023-01-31,9:03,A-383,limping badly left hind leg and right front leg. Some blood on right front leg,,LHL + RFL,,limping badly,,OH+ED
in_20230213_0923_A-588,2023-02-13,9:23,A-588,limping badly left hind leg and right front leg. Some blood on right front leg,,LHL + RFL,,limping badly,,OH+ED
in_20230608_0707_L-553,2023-06-08,7:07,L-553,fresh wound on the left shoulder,hy?,shoulder,,"open wound, limping front left leg.",,PN
in_20230627_0808_A-346,2023-06-27,8:08,A-346,fresh wounds on the inner thighs,skin disease?,thighs,,no visible effects/signs,,PN
in_20231108_0732_S-356,2023-11-08,7:32,S-356,bum bite wound on right side,,,,,,OH+ED
in_20231108_0854_A-519,2023-11-08,8:54,A-519,bum bite wound on right side,,,,,,OH+ED
in_20231122_0753_M-529,2023-11-22,7:53,M-529,broken right front leg,,RFL,,"limping badly, not putting weight on front leg",,OH+ED
in_20231205_0917_M-544,2023-12-05,9:17,M-544,"slim, tired, no energy. Stays close to M-414 and does not want to play when the two other cubs push him playfully, interaction",,,,,,OH+ED
in_20231205_1001_M-529,2023-12-05,7:23,M-529,"broken right front leg, infected open wound, oozing",,RFL,,"limping badly, not putting weight on front leg",,OH+ED
in_20231221_0723_A-264,2023-12-21,7:23,A-264,"floppy right ear, probably bitten at the kill of few hours ago",,,,,,OH+ED
in_20240104_1558_M-529,2024-01-04,15:58,M-529,broken hind legs,vehicle collision,hind legs,,unable to stand/walk. Dragging hind legs,,PN
in_20240117_0948_S-259,2024-01-17,9:48,S-259,pinkish coloration on fore legs,skin disease?,fore legs,,no visible effect,,DM+MM
in_20240214_1154_N-295,2024-02-14,11:54,N-295,pinkish colouration on front legs,skin disease?,front legs,,"no visible effect, walks normally.",,PN
in_20240218_0924_E-305,2024-02-18,9:24,E-305,lethargic and skinny,,,,"walking slowly, sleepy",spending time in natal clan,DM+PN
in_20240220_0736_E-306,2024-02-20,7:36,E-306,pinkish colouration of face and fore legs,skin disease?,"below the eyes, fore-right leg",,no visible effect,spending time in natal clan,DM+PN
in_20240304_0701_M-544,2024-03-04,7:01,M-544,Limping on HRL,,hind right leg,,"limping ,didn´t want to get up, hardly moving",,DM+PN
in_20240323_0921_N-280,2024-03-23,9:21,N-280,"hardly walk, dragging the hind legs, bites on the tits and hind legs, skinny and weak",,"hind legs, tits",,unable to stand/walk. Dragging hind legs,,DM+PN
in_20240413_0952_E-325,2024-04-13,9:52,E-325,Fresh wound/blood on the left thigh,,left thighs,,open wound,,DM
in_20240415_0810_A-390,2024-04-15,8:10,A-390,fresh wound on the fore-hind right legs,,fore and hind right legs,,open wound with flies,,DM
in_20240505_0649_S-397,2024-05-05,6:49,S-397,"hair loss in most part of the body, crusted skin.",skin disease?,body,,"skinny, hair loss",,PN
in_20240509_0645_M-504,2024-05-09,6:45,M-504,fresh wound on toe,,fore left leg,,limping ,,DM
in_20240509_0714_S-397,2024-05-09,7:14,S-397,"hair loss in most part of the body, crusted skin.",skin disease?,body,,"skinny, hair loss",,PN
in_20240513_0652_S-397,2024-05-13,6:52,S-397,"hair loss in most part of the body, crusted skin.",skin disease?,body,,"skinny, hair loss",,PN
in_20240529_0919_F-325,2024-05-29,9:19,F-325,fresh wound on right knee,,hind right leg,,"open wound, didn`t want to get up",,DM
in_20240603_0741_T-226,2024-06-03,7:41,T-226,"hair loss in most part of the body, crusted skin.",skin disease?,body,,hair loss,,PN
in_20240622_0734_A-374,2024-06-22,7:34,A-374,"hair loss in most part of the body, crusted skin.",skin disease?,body,,hair loss,,PN
in_20240623_0728_M-426,2024-06-23,7:28,M-426,a wound on the hind left leg,,hind left leg,,limping,,PN
in_20241008_0719_L-329,2024-10-08,7:19,L-329,a wound below the left eye,,face,,open wound,,PN+HM
in_20241011_0940_L-329,2024-10-11,9:40,L-329,"a open deep fresh wound below the left eye,  with lump below. Might be dangerous for the eye",,face,,open wound,,MM
in_20241013_0642_N-228,2024-10-13,6:42,N-228,open fresh wound on the left hind leg,,hind left leg,,open wound,,PN+HM
in_20241125_1045_S-161,2024-10-25,10:45,S-161,open fresh wounds on the right front left behind leg. Deep fresh wound on the penis.,,"front leg,hind leg,penis",,"limping,open wounds",,MM+HM
