denname,latitude,longitude,altitude,habitat,soil,clan1,clan2,clan3,type1,type2,observer
Luzern 2,-3.17336,35.57900,,GRS,earth,L,,,comm,,
Luzern,-3.17337,35.57937,,GRS,earth,L,,,comm,,
Lizard,-3.17383,35.59333,,HER,earth,L,,,comm,,
Lomako,-3.17384,35.58137,,GRS,earth,L,,,L-084 + cubs,,
Merenge,-3.17417,35.61550,,,,M,,,comm,,
Musk,-3.17433,35.61650,,,,M,,,comm,,
Mandi,-3.17450,35.59533,,HER,earth,M,L,,comm,,
Lindi,-3.17467,35.55083,,GRS,ss,L,,,comm,,
Mumbe,-3.17467,35.62917,,GRS,earth,M,N,,comm,,
Tambaa birth,-3.17500,35.61150,,GRS,sg,M,,,birth M-006,,
Leguan,-3.17517,35.58667,,HER,earth,L,,,comm,,
Afghan,-3.17518,35.51444,,HER,earth,A,,,comm,,
Mogli,-3.17533,35.59767,,GRS,earth,M,,,comm,,
Lalibela,-3.17536,35.57866,,GRS,earth,L,,,comm,,
Little,-3.17543,35.58091,,GRS,earth,L,,,birth L-139,,
Limuko,-3.17567,35.59000,,GRM,earth,L,,,comm,,
Moram,-3.17567,35.61283,,GRM,earth,M,,,comm,,
Fortune,-3.17582,35.50900,,GRS,earth,F,,,comm,,PN
Old,-3.17617,35.59900,,GRS,earth,M,,,comm,,
Moon,-3.17633,35.59217,,HER,earth,M,L,,comm,,
Mzee,-3.17633,35.59967,,,,M,,,,,
Lerai,-3.17642,35.57463,,GRS,earth,L,,,birth L-151,,
Look,-3.17667,35.57533,,GRS,earth,L,,,comm,,
L-516 birth,-3.17694,35.55200,,LKS,,L,,,birth L-516,,PN
Milkyway 2,-3.17695,35.62975,,,,M,,,comm,,
Langeness,-3.17701,35.58006,,GRS,earth,L,,,comm,,
Nyuki 2,-3.17712,35.62974,,GRS,earth,M,,,comm,,
Losirua,-3.17717,35.57883,,GRS,earth,L,,,comm,,
Lifti,-3.17733,35.59083,,GRS,earth,L,,,comm,,
Mozza,-3.17741,35.60326,,GRS,earth,M,,,comm,,
Nyuki 3,-3.17754,35.62845,,GRL,earth,M,,,comm,,
Nyuki 4,-3.17755,35.63049,,GRL,earth,M,,,comm,,
Nyuki 5,-3.17758,35.63205,,GRS,earth,M,,,comm,,
Maisha,-3.17763,35.63165,,,,M,,,comm,,
Nyuki,-3.17772,35.63089,,GRS,earth,N,,,comm,,
Legacy,-3.17779,35.55447,,GRS,earth,L,,,comm,,
Likiso,-3.17813,35.57951,,GRS,earth,L,,,comm,,
Lafayette,-3.17830,35.57042,,GRS,earth,L,,,comm,,
Luxus,-3.17833,35.56233,,ERO,ss,L,,,comm,,
Sumbua birth,-3.17833,35.56250,,ERO,ss,L,,,birth L-004,,
Maziwa,-3.17850,35.61067,,,,M,,,comm,,
Servela,-3.17879,35.59548,,HER,earth,S,,,comm,,
Landscape,-3.17883,35.56267,,GRM,ss,L,,,comm,,
Lufti,-3.17883,35.56967,,GRM,earth,L,,,comm,,
Libelle,-3.17916,35.57545,,GRS,earth,L,,,comm,,
