date,time,latitude,longitude,location,species,sequence,name,name2,focal_voc,other_sound,sequence_total,sequence_missed_start,sequence_missed_end,sequence_recorded,audioID,original_file,count_original_file,quality,context_behaviour,context_ecology,reply,comments,observer
1996-09-16,18:18,-3.17083,35.60000,p,HYC,1,M-050,,WP,,"10a, 1t",,,,,NA,,,1min after being CH by M-085 + M-093,,n,,
1996-09-19,7:21,-3.17833,35.60217,p,HYC,1,M-003,,WP,,"3a, 1s, 1t, 1a, 1t",,,,,NA,,,together with other Munges next to WI kill (they prob did) with 2 LI adf,kill,y ?,"there were a lot of other WP, e.g. by M-006 and M-040",
1996-09-19,7:24,-3.17833,35.60217,p,HYC,1,M-003,,WP,,"2a, 1s, 1a, 2t, 1a",,,,,NA,,,together with other Munges next to WI kill (they prob did) with 2 LI adf,kill,n,,
1996-09-19,7:24,-3.17833,35.60217,p,HYC,1,M-009,,WP,,"2s, 1a, 1s, 1t",,,,,NA,,,together with other Munges next to WI kill (they prob did) with 2 LI adf,kill,n,,
1996-09-19,7:31,-3.17833,35.60217,p,HYC,1,M-003,,WP,,"4s, 1t",,,,,NA,,,together with other Munges next to WI kill (they prob did) with 2 LI adf,kill,n,,
1996-09-19,7:33,-3.17833,35.60217,p,HYC,1,M-012,,WP,,"1a, 3s, 1t",,,,,NA,,,after AP the group of Munges at kill and being attacked by them,kill,n,,
1996-09-19,7:36,-3.17833,35.60217,p,HYC,1,M-010,,WP,,about 13a,,,,,NA,,,after joining the group of Munges at kill,kill,n,,
1996-09-19,7:53,-3.17833,35.60217,p,HYC,1,M-084,,WP,,"6a, 1t",,,,,NA,,,after being CH 3m by M-003,kill,n,,
1996-09-24,18:49,-3.17450,35.60017,p,HYC,1,M-008,,WP,,"1a, 4s, 3a",,,,,NA,,,"close to soc int between M-003, M-006, M-007, M-041, M-082 and M-083, GT M-003 + M-041",,n,,
1996-09-26,18:17,-3.17883,35.56267,Landscape,HYC,1,,,WP,,4a,,,,,NA,,,"L-084, L-093 or L-090, after L-041 AP den and 4 cubs and GN and GT cubs",,n,"1818 L-013 comes LO from NE, L-041 RE",
1996-09-26,18:20,-3.17883,35.56267,Landscape,HYC,1,,,WP,,12a,,,,,NA,,,"one of the cubs out of DH, L-041 is GT cubs",,n,,
1996-09-27,18:11,-3.17883,35.56267,Landscape,HYC,1,L-084,,WP,,unknown,,,no,,NA,,,"after L-040 AP den with flipping penis, L-040 stops 10m away from den",,n,,
1996-09-28,18:26,-3.19917,35.56333,p,HYC,1,L-048,,WP,,"1a, 2s, 3a",,,,,NA,,,"after interacting with L-009, when 3-400m away from L-009",,n,,
1996-09-28,18:37,-3.17883,35.56267,Landscape,HYC,1,L-084,,WP,,"3a, 5s, 1a, 1t",,,,,NA,,,after L-009 arrives at den,,n,,
1996-12-28,9:59,-3.18333,35.56267,p,HYC,1,L-005,,WP,,"1a, 4s, 1t",,,,,NA,,,reply to WP 500m away,,n,,
1996-12-28,10:02,-3.18333,35.56267,p,HYC,1,L-005,,WP,,"3a, 3s, 2a, 1t",,,,,NA,,,"after WA in direction of other WP, still reply (?)",,n,,
1997-01-02,7:50,-3.17617,35.59750,p,HYC,1,M-081,,WP,,"7s, 4a, 1t",,,,,NA,,,"when meeting M-016, surrounding M-016 with TU while WP",,n,,
1997-01-03,18:49,-3.17583,35.59767,p,HYC,1,M-008,,WP,,"11a, 1t",,,,,NA,,,after being CH by M-006 and then AP M-006 + M-007 (TU),,n,"M-006 + M-007 TD after AP of M-008, WA away, LD",
1997-01-04,17:12,2.4km away from Lucky,,p,HYC,1,,,WP,,"1a, 4s, 4a, 1t",,,,,NA,,,Lemalas just killed a young WI,fresh WI kill,n,we were at Lucky den when we heard 2 HY WP simultaneously; we concentrated on one,
1997-01-06,6:53,100m from Lucky den,,p,HYC,1,L-042,,WP,,"2a, 3s, 4a, 1t",,,,,NA,,,while WA away from den,,n,,
1997-01-15,18:27,,,,HYC,1,L-041,,WP,,9a,,,,,NA,,,"10m from L-008, 20m from L-086, L-087 + L-090, LD after WP",,n,,
1997-01-19,18:11,,,p,HYC,1,M-081,,WP,,"2a, 1s, 7a",,,,,NA,,,after R after M-088 who had a gazelle fawn,,n,"M-006 caught up with M-088 and fought with her, M-081 didn't get anything, but was very excited",
1997-01-19,18:20,,,p,HYC,1,M-082,,WP,,"9a, 1t",,,,,NA,,,"after interaction with M-007 + M-041, all seem to dom and cub at the same time",,n,,
1997-01-19,18:25,,,p,HYC,1,M-082,,WP,,10a,,,,,NA,,,"after interaction with M-007 + M-041, all seem to dom and cub at the same time",,n,,
1997-01-23,7:18,-3.20633,35.57917,p,HYC,1,L-040,,WP,,"6s, 1a",5s,none,"1s, 1a",au_19970123_0718_L,Tape_N01,00:00,ok,"L-040 shad L-004, WA in front of L-004 and WP",,n,,OH+BW
1997-01-25,8:11,-3.20367,35.57683,Lolo,HYC,1,L-041,,WP,,8a,,,,,NA,,,after baiting and being CH by L-008,,n,,
1997-01-27,18:40,-3.20567,35.57850,Lima,HYC,1,L-041,,WP,,11a,,,,,NA,,,"while WA 20m away from den, then LD again",,n,,
