year,month,day,Season,Block,WI,EQ,GG,TG,BU,KO,WB,WH,OS,ELA,ELE,RH,Hippo,KB,CC,HY,LI,cheetah,BJ,GJ,SSJ,FX,serval,leopard,baboon,vervet,hare,bushbuck,reedbuck,klipspringer,secretary bird,honey badger
1989,9,NA,dry,2,230,189,46,NA,249,17,3,NA,2,0,7,1,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,9,NA,dry,3,48,51,94,NA,3,11,1,NA,8,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,9,NA,dry,4,0,0,12,NA,43,2,1,NA,1,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,9,NA,dry,5,667,338,169,NA,310,14,12,NA,10,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,9,NA,dry,6,0,65,62,NA,0,21,0,NA,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,4,NA,wet,1,2,3,227,552,142,27,0,0,0,0,54,4,0,8,NA,0,2,NA,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1990,4,NA,wet,2,1,129,27,3,757,20,8,6,0,0,12,2,60,2,NA,10,5,NA,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1990,4,NA,wet,3,7140,1972,297,747,638,1,0,4,7,43,0,0,0,0,NA,1,6,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1990,4,NA,wet,4,37,187,41,0,286,0,0,1,6,0,0,0,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1990,4,NA,wet,5,4041,2037,343,450,667,23,0,38,16,0,8,4,0,8,NA,19,2,NA,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA
1990,4,NA,wet,6,0,2,108,74,456,27,0,0,8,0,0,0,0,1,NA,0,12,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1990,9,NA,dry,1,6847,2116,269,NA,305,3,11,NA,2,9,15,6,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,9,NA,dry,2,518,636,66,NA,845,50,0,NA,8,0,2,2,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,9,NA,dry,3,11,0,102,NA,713,11,2,NA,3,26,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,9,NA,dry,4,0,0,34,NA,138,0,0,NA,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,9,NA,dry,5,21,101,118,NA,2,35,0,NA,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,9,NA,dry,6,42,935,72,NA,2,9,17,NA,4,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,4,NA,wet,1,5,7,250,434,655,39,13,24,15,0,34,4,8,8,NA,2,8,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1991,4,NA,wet,2,1,102,96,9,48,24,1,8,0,0,6,0,42,1,NA,10,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1991,4,NA,wet,3,4829,2179,213,513,1321,0,9,0,10,13,0,1,0,0,NA,9,10,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1991,4,NA,wet,4,1103,257,59,6,487,9,0,1,4,0,14,0,0,4,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1991,4,NA,wet,5,3301,719,176,135,468,1,0,25,11,30,2,0,0,9,NA,20,5,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1991,4,NA,wet,6,15,50,133,119,426,31,3,10,0,0,0,0,0,7,NA,9,4,NA,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1992,4,NA,wet,1,999,1452,417,235,2098,30,0,21,0,0,17,10,NA,7,NA,10,8,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1992,4,NA,wet,2,3,47,111,8,26,54,0,5,4,0,6,1,NA,4,NA,4,10,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1992,4,NA,wet,3,7221,2247,245,446,1607,21,4,0,1,0,0,0,NA,0,NA,22,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1992,4,NA,wet,4,45,18,48,3,521,15,0,2,1,1,0,0,NA,0,NA,0,4,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1992,4,NA,wet,5,2266,194,119,191,541,0,4,3,18,10,0,1,NA,2,NA,35,4,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1992,4,NA,wet,6,74,227,446,374,815,40,0,19,9,0,4,0,NA,0,NA,1,9,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1992,9,NA,dry,1,5925,1274,233,349,685,11,11,20,3,8,11,2,33,5,NA,5,7,NA,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1992,9,NA,dry,2,53,291,259,266,738,45,0,13,11,0,2,0,83,0,NA,1,11,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1992,9,NA,dry,3,0,28,36,442,0,40,0,3,2,0,0,1,0,0,NA,0,2,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1992,9,NA,dry,4,0,0,63,8,0,0,0,0,7,1,0,0,1,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1992,9,NA,dry,5,106,22,70,135,22,12,0,26,7,0,0,0,0,10,NA,0,9,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1992,9,NA,dry,6,1108,925,173,85,0,46,0,13,3,0,0,0,0,0,NA,0,0,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1993,4,NA,wet,1,1954,847,310,468,354,40,8,10,11,10,27,8,0,16,NA,0,6,NA,3,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1993,4,NA,wet,2,0,16,86,29,984,45,1,11,6,1,1,0,42,2,NA,15,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1993,4,NA,wet,3,446,181,46,180,9,1,0,0,3,25,2,0,0,0,NA,8,0,NA,2,2,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
