year,month,day,Season,Block,WI,EQ,GG,TG,BU,KO,WB,WH,OS,ELA,ELE,RH,Hippo,KB,CC,HY,LI,cheetah,BJ,GJ,SSJ,FX,serval,leopard,baboon,vervet,hare,bushbuck,reedbuck,klipspringer,secretary bird,honey badger
2000,9,NA,dry,2,500,773,91,458,706,45,20,15,11,0,0,2,137,0,12,1,3,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA
2000,9,NA,dry,3,3163,633,409,131,164,12,0,12,30,0,0,0,0,4,43,0,1,2,1,0,NA,0,0,NA,0,0,0,0,0,0,1,NA
2000,9,NA,dry,4,300,646,118,13,49,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA
2000,9,NA,dry,5,3781,839,140,94,231,8,0,16,19,0,0,2,40,6,10,9,0,0,0,4,NA,2,0,NA,0,0,0,0,0,0,2,NA
2000,9,NA,dry,6,1911,591,16,3,163,50,23,6,10,4,0,0,0,0,700,1,4,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA
2001,4,NA,wet,1,145,15,402,1575,762,38,0,17,12,1,50,1,4,3,8,13,9,0,0,6,NA,0,0,NA,0,0,0,0,0,0,0,NA
2001,4,NA,wet,2,0,0,10,24,1110,8,0,1,10,0,32,1,115,1,21,1,0,0,0,1,NA,0,0,NA,0,0,0,0,0,0,0,NA
2001,4,NA,wet,3,3666,500,124,291,428,0,0,0,0,40,4,0,0,0,47,3,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA
2001,4,NA,wet,4,257,144,0,0,83,0,0,0,6,8,10,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA
2001,4,NA,wet,5,5480,1572,141,115,240,5,0,38,62,12,27,2,0,1,11,7,0,0,6,0,NA,0,0,NA,0,0,0,0,0,0,0,NA
2001,4,NA,wet,6,25,8,112,256,10,32,0,24,4,0,24,0,0,1,8,0,0,0,2,0,NA,0,0,NA,0,0,0,0,0,0,0,NA
2001,9,NA,dry,1,8932,2239,84,271,343,105,15,61,5,2,8,0,44,0,37,15,0,1,0,10,NA,0,0,NA,0,0,0,0,0,0,0,NA
2001,9,NA,dry,2,2826,1287,63,203,350,31,0,21,19,0,2,0,158,0,0,1,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA
2001,9,NA,dry,3,159,373,293,296,382,3,0,33,45,0,0,0,0,0,18,2,0,1,0,4,NA,0,0,NA,0,0,0,0,0,0,0,NA
2001,9,NA,dry,4,0,165,159,0,33,1,10,1,13,0,10,0,0,3,60,6,0,1,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA
2001,9,NA,dry,5,1523,329,177,150,5,3,0,8,7,0,0,1,25,3,68,2,0,0,2,2,NA,0,0,NA,0,0,0,0,0,0,0,NA
2001,9,NA,dry,6,6,291,98,93,112,5,2,0,13,0,0,0,0,4,56,0,3,0,0,0,NA,0,0,NA,37,0,0,0,0,0,4,NA
2002,4,NA,wet,1,393,305,245,1212,378,32,0,40,57,0,0,0,55,4,93,8,0,0,4,9,NA,0,0,1,0,0,0,0,0,0,0,NA
2002,4,NA,wet,2,0,0,14,29,427,27,0,7,12,0,7,0,104,0,21,3,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA
2002,4,NA,wet,3,3800,2266,365,245,1473,0,0,5,24,0,5,1,0,2,10,1,0,0,2,0,NA,0,0,0,0,0,0,0,0,0,0,NA
2002,4,NA,wet,4,0,262,0,0,487,0,38,0,30,0,19,0,0,0,6,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA
2002,4,NA,wet,5,4279,1097,214,709,185,2,0,19,42,40,1,6,0,6,34,10,2,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,NA
2002,4,NA,wet,6,2,22,128,13,587,23,0,13,4,0,0,0,0,0,48,0,0,0,11,2,NA,0,0,0,0,0,0,0,0,0,0,NA
2002,9,NA,dry,1,3442,2044,60,280,17,8,13,26,0,0,0,3,78,0,0,26,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,NA
2002,9,NA,dry,2,0,281,14,229,823,23,0,0,4,0,3,0,93,0,48,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2002,9,NA,dry,3,0,125,147,333,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2002,9,NA,dry,4,0,12,0,0,161,0,0,0,5,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2002,9,NA,dry,5,5486,692,54,218,161,1,0,5,21,0,0,0,44,4,30,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2002,9,NA,dry,6,911,633,53,131,5,10,7,6,11,0,6,1,0,0,2,14,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,NA
2003,4,NA,wet,1,83,811,137,1109,639,0,2,32,2,0,11,3,19,12,14,5,0,1,1,9,3,0,0,0,0,0,0,0,0,0,2,0
2003,4,NA,wet,2,0,18,96,35,490,21,1,1,16,0,8,14,58,2,74,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,4,NA,wet,3,2504,1286,175,229,264,0,0,4,29,4,8,1,0,4,75,12,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,4,NA,wet,4,573,451,29,0,994,0,0,13,32,8,1,0,0,0,23,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2003,4,NA,wet,5,2552,173,151,330,77,1,0,85,20,35,7,1,42,7,54,25,9,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0
2003,4,NA,wet,6,13,868,208,139,654,13,0,13,23,0,0,0,0,4,34,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2003,9,NA,dry,1,8296,1179,113,336,499,19,0,19,19,0,8,2,20,0,81,9,3,1,5,9,0,0,0,0,0,0,0,0,0,0,0,0
2003,9,NA,dry,2,1,604,68,248,1191,25,2,16,15,0,9,0,77,0,25,13,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0
2003,9,NA,dry,3,268,16,96,46,211,1,0,2,7,0,1,0,0,3,0,1,6,0,5,3,0,0,0,0,0,0,0,0,0,0,2,0
2003,9,NA,dry,4,88,331,7,1,192,0,0,0,18,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,9,NA,dry,5,868,206,24,41,125,0,0,16,5,0,0,0,0,0,2,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0
2003,9,NA,dry,6,1386,1330,157,54,96,52,0,4,14,0,0,0,0,4,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0
2004,3,NA,wet,1,1107,1443,186,487,950,32,10,594,44,2,40,6,41,18,110,0,4,0,13,3,0,0,0,0,62,0,0,0,0,0,1,0
2004,3,NA,wet,2,41,176,84,7,61,22,0,2,5,1,4,1,53,2,20,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,3,NA,wet,3,1804,776,208,52,271,0,0,19,6,0,7,0,0,3,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,3,NA,wet,4,621,338,13,0,181,0,0,0,9,1,0,0,0,0,13,39,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2004,3,NA,wet,5,1181,234,176,296,693,0,0,41,22,4,0,0,0,2,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2004,3,NA,wet,6,9,38,49,433,314,46,0,23,51,7,9,1,0,19,120,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
2005,NA,NA,dry,1,3910,1793,249,691,352,32,6,45,26,0,1,0,34,0,0,35,2,2,0,6,0,1,0,1,0,0,0,0,0,0,0,0
2005,NA,NA,dry,2,131,1782,37,315,848,34,0,2,23,0,4,1,119,0,4,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2005,NA,NA,dry,3,474,94,23,2,536,6,0,6,7,0,0,0,0,5,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,NA,NA,dry,4,176,507,62,66,306,2,0,5,25,16,18,0,0,0,16,7,0,0,0,0,0,0,1,0,0,13,0,0,0,0,2,0
2005,NA,NA,dry,5,3001,149,55,59,433,0,0,7,3,0,0,0,0,11,171,32,15,0,8,4,0,7,0,0,0,0,0,0,0,0,0,0
2005,NA,NA,dry,6,1429,785,107,3,36,98,0,25,31,0,0,0,0,27,21,4,0,2,5,1,0,0,0,0,0,0,0,0,0,0,2,0
2006,NA,NA,wet,1,233,90,423,1045,810,22,20,10,35,4,9,9,0,9,10,14,0,1,4,0,0,5,0,0,31,0,0,0,0,0,2,0
2006,NA,NA,wet,2,0,0,14,12,69,21,0,1,0,0,4,0,77,3,27,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,NA,NA,wet,3,2514,3088,100,79,222,0,0,2,0,55,0,0,0,6,18,8,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2006,NA,NA,wet,4,64,203,14,0,713,3,3,5,0,0,52,2,5,5,0,3,6,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0
2006,NA,NA,wet,5,557,103,31,148,22,0,0,64,10,0,13,2,11,2,3,19,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2006,NA,NA,wet,6,17,0,182,265,1270,66,0,10,69,0,255,0,0,6,24,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
2006,NA,NA,dry,1,315,269,92,280,543,10,16,15,12,0,9,1,76,1,14,11,11,0,10,0,0,0,0,0,0,3,0,0,0,0,2,0
2006,NA,NA,dry,2,2,978,61,423,652,11,2,14,13,0,7,0,63,0,61,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2006,NA,NA,dry,3,437,242,24,4,212,0,0,7,9,0,0,0,0,7,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,NA,NA,dry,4,1621,193,35,10,149,1,0,5,11,2,82,0,28,5,4,5,18,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0
2006,NA,NA,dry,5,546,432,107,76,309,0,0,12,10,0,0,3,0,3,0,12,10,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,NA,NA,dry,6,1767,1672,102,0,180,21,0,10,13,23,0,0,0,0,14,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,4,NA,wet,1,1181,271,50,544,420,16,17,2,41,15,15,1,20,13,27,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,4,NA,wet,2,21,23,40,19,1592,43,2,10,16,0,7,0,0,2,77,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,4,NA,wet,3,2183,2043,77,115,571,0,0,0,0,31,0,2,76,0,4,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,4,NA,wet,4,1237,645,13,0,379,0,0,12,8,2,3,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,4,NA,wet,5,0,0,21,48,9,14,0,5,0,0,5,6,0,9,48,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2007,4,NA,wet,6,16,61,196,25,166,62,0,6,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,NA,NA,wet,1,159,269,151,376,1477,39,8,10,57,1,1,11,2,5,1,18,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2008,NA,NA,wet,2,0,0,51,33,14,25,0,0,0,0,0,0,38,2,33,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,NA,NA,wet,3,1620,1452,35,5,686,0,0,0,0,26,26,0,0,1,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2008,NA,NA,wet,4,1297,1026,35,6,461,0,0,9,0,14,14,0,0,7,2,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0
2008,NA,NA,wet,5,5242,210,145,137,159,19,0,40,43,5,5,6,5,4,167,35,0,0,3,3,0,0,1,0,0,0,0,0,0,0,2,0
2008,NA,NA,wet,6,7,586,196,25,892,37,0,36,5,3,3,0,8,3,6,32,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2008,9,NA,dry,1,13,644,69,221,300,4,13,47,19,0,4,3,76,3,42,15,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2008,9,NA,dry,2,2,1471,38,110,128,32,4,6,10,0,33,0,52,4,10,2,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2008,9,NA,dry,3,1134,253,95,132,2136,11,0,15,9,1,0,0,0,1,12,61,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0
2008,9,NA,dry,4,430,681,47,9,445,1,0,0,18,7,0,0,0,10,0,2,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
2008,9,NA,dry,5,1279,315,55,9,34,0,0,15,9,1,0,1,0,7,21,6,8,0,4,0,0,0,0,0,2,0,0,0,0,0,2,0
2008,9,NA,dry,6,7668,2121,178,289,90,33,0,19,28,0,21,0,0,4,66,16,1,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0
2009,4,18,wet,1,934,820,193,508,951,28,3,43,30,1,0,9,31,12,55,41,2,0,0,17,0,6,1,0,0,0,0,0,0,0,0,0
2009,4,18,wet,2,0,0,20,4,567,36,0,0,25,0,0,2,47,6,37,7,6,0,0,2,0,0,0,0,0,20,0,0,0,0,1,0
2009,4,18,wet,3,4491,2158,97,86,476,11,0,0,0,0,0,0,0,3,18,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,4,18,wet,4,809,211,39,0,497,0,0,0,16,7,0,0,0,0,40,0,11,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
2009,4,18,wet,5,3122,1313,87,220,329,41,0,42,0,0,0,0,0,2,0,36,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0
2009,4,18,wet,6,2650,597,69,333,483,35,0,6,22,2,0,0,20,2,1,7,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
2009,9,15,dry,1,1084,1330,140,573,869,20,2,46,13,8,6,2,78,10,175,31,3,0,0,0,0,0,0,0,10,6,0,0,0,0,3,0
2009,9,15,dry,2,1784,2523,63,148,208,32,2,49,24,0,5,0,110,6,16,11,1,0,12,0,0,0,0,0,0,25,0,0,0,0,0,0
2009,9,15,dry,3,917,584,64,110,711,41,0,18,46,6,116,1,46,42,38,18,5,0,9,2,0,0,0,0,0,0,0,0,0,0,13,0
2009,9,15,dry,4,1935,398,46,18,282,0,0,13,10,0,0,0,0,3,15,11,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0
2009,9,15,dry,5,2875,538,76,16,0,0,0,46,9,0,0,1,0,27,56,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,9,15,dry,6,326,1808,159,80,46,28,0,13,7,0,0,0,0,0,2,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0
2010,4,NA,wet,1,99,63,169,421,1338,11,4,40,9,5,22,10,95,8,21,56,4,1,2,2,0,0,0,0,60,0,0,0,0,0,0,0
2010,4,NA,wet,2,30,272,26,10,0,17,1,0,20,0,26,1,124,1,4,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2010,4,NA,wet,3,1191,2368,77,136,691,1,0,1,6,26,1,1,0,0,2,4,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,4,NA,wet,4,3425,1768,50,18,516,3,0,8,9,0,35,0,0,0,54,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2010,4,NA,wet,5,904,582,74,47,0,4,0,18,29,0,23,4,0,11,32,17,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0
2010,4,NA,wet,6,2856,573,156,29,462,25,0,30,8,0,125,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2010,9,NA,dry,1,3706,3280,93,244,959,32,3,38,25,2,7,4,8,6,390,49,2,0,2,7,0,0,0,0,0,12,0,0,0,0,0,0
2010,9,NA,dry,2,0,824,322,45,906,15,151,5,10,0,6,0,92,20,8,23,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0
2010,9,NA,dry,3,0,53,50,15,17,9,53,0,9,0,0,0,0,2,3,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,9,NA,dry,4,2,60,9,2,564,0,0,6,19,2,2,0,0,15,0,18,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,9,NA,dry,5,399,415,91,31,2,5,0,27,11,0,0,0,0,16,9,47,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,9,NA,dry,6,6128,184,85,5,4,7,0,0,4,0,0,0,0,10,37,24,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
2011,4,NA,wet,1,1462,1083,191,359,1266,17,12,28,43,3,50,10,1,24,19,65,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0
2011,4,NA,wet,2,4,0,24,8,449,33,0,8,8,0,60,0,135,4,55,5,6,0,0,2,0,0,0,0,0,5,0,0,0,0,1,0
2011,4,NA,wet,3,107,817,63,25,786,9,0,0,0,33,63,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,4,NA,wet,4,79,738,16,7,723,0,0,8,22,0,0,0,0,0,36,21,6,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0
2011,4,NA,wet,5,1183,435,19,48,4525,0,0,17,7,0,6,0,0,9,4,19,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,4,NA,wet,6,2276,649,40,85,203,7,0,2,0,13,1,0,0,6,17,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,9,NA,dry,1,314,1626,119,577,1205,1,0,46,31,0,5,2,16,9,156,59,5,1,6,0,0,0,0,0,10,3,0,0,0,0,1,0
2011,9,NA,dry,2,2034,2035,23,138,3096,19,1,9,7,0,0,0,64,3,4,44,4,0,6,4,0,0,0,0,0,0,0,0,0,0,0,1
2011,9,NA,dry,3,0,120,54,6,388,1,0,0,14,0,0,0,0,6,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,9,NA,dry,4,0,71,5,2,638,0,0,0,15,0,0,0,0,5,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
2011,9,NA,dry,5,4279,62,30,60,10,0,0,9,4,0,0,0,0,1,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,9,NA,dry,6,62,44,95,7,35,36,0,4,30,0,0,0,105,8,41,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2012,4,NA,wet,1,2327,1770,68,561,177,10,2,15,4,6,2,5,1,10,206,54,0,0,9,11,0,0,0,0,0,7,0,2,0,0,0,0
2012,4,NA,wet,2,3645,104,28,11,126,5,3,0,4,0,1,2,57,9,6,6,0,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0
2012,4,NA,wet,3,9,183,39,4,1609,7,0,0,0,1,0,0,0,4,10,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,4,NA,wet,4,67,77,31,6,1014,0,0,0,5,0,1,0,1,2,0,19,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,4,NA,wet,5,3114,2098,94,550,203,14,0,17,0,22,0,1,1,20,28,65,6,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0
2012,4,NA,wet,6,1846,710,53,61,480,31,0,0,0,9,0,0,0,47,8,30,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,9,NA,dry,1,1460,1447,99,746,859,6,1,62,26,2,10,3,10,8,89,47,0,0,1,0,0,0,0,0,26,11,0,0,0,0,1,0
2012,9,NA,dry,2,160,683,3,18,201,21,3,0,9,0,0,0,27,4,0,15,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0
2012,9,NA,dry,3,6,494,45,0,23,18,0,0,8,0,0,0,0,8,2,34,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
2012,9,NA,dry,4,8,190,18,5,444,0,0,6,9,0,0,0,0,6,0,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,9,NA,dry,5,4778,274,41,206,17,1,0,43,3,0,0,0,0,17,180,69,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0
2012,9,NA,dry,6,2489,167,100,144,649,22,0,8,23,0,4,1,0,5,50,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013,4,NA,wet,1,969,890,59,398,695,4,0,40,47,3,39,9,56,12,15,57,35,0,9,3,0,0,0,0,70,2,0,0,3,0,0,0
2013,4,NA,wet,2,879,1207,38,171,96,13,2,1,6,0,2,0,181,4,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,4,NA,wet,3,69,207,100,24,497,15,0,4,4,2,3,0,43,7,7,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013,4,NA,wet,4,100,145,26,3,392,1,0,19,13,0,0,0,0,6,13,3,0,0,2,0,0,4,0,0,26,0,0,0,0,0,0,0
2013,4,NA,wet,5,741,751,84,172,755,0,0,8,5,28,0,1,0,28,13,5,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0
2013,4,NA,wet,6,4623,361,271,370,885,11,0,32,10,11,13,0,1,27,1,10,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0
2015,4,NA,wet,1,3902,2908,426,1252,1600,12,3,141,27,93,25,6,70,31,54,81,17,0,5,43,0,5,0,0,0,0,0,1,0,0,17,0
2015,4,NA,wet,2,1454,194,70,162,552,0,0,0,4,0,14,0,98,4,34,10,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2015,4,NA,wet,3,76,26,50,4,525,13,10,1,16,0,2,0,0,0,16,13,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2015,4,NA,wet,4,12,125,22,0,918,5,0,7,0,64,15,0,0,1,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015,4,NA,wet,5,920,156,241,889,81,0,0,42,30,6,3,1,0,8,16,2,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0
2015,4,NA,wet,6,2861,1946,288,398,669,13,0,37,31,31,120,7,33,12,45,14,0,0,8,4,2,0,0,0,0,0,0,0,0,0,1,0
2015,9,NA,dry,1,1302,1107,344,540,479,8,3,26,19,19,40,3,59,13,49,41,16,0,6,0,0,0,0,0,26,0,0,0,0,0,0,0
2015,9,NA,dry,2,560,1851,80,248,724,9,9,0,4,0,1,0,57,5,15,12,10,0,1,0,0,1,0,0,0,7,0,0,0,0,0,0
2015,9,NA,dry,3,1417,417,64,83,72,10,0,0,24,0,0,0,0,14,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,9,NA,dry,4,2992,370,32,1,1454,0,0,5,7,0,0,0,3,1,0,0,3,0,1,1,1,0,1,0,32,0,0,0,0,0,0,0
2015,9,NA,dry,5,1981,219,105,149,22,6,0,12,7,0,3,0,0,2,171,23,6,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0
2015,9,NA,dry,6,817,72,116,149,463,17,0,22,15,3,1,1,0,7,31,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,4,NA,wet,1,2757,694,228,391,609,7,2,83,7,17,80,1,96,6,8,29,5,0,8,5,0,5,0,0,0,0,0,0,0,0,0,0
2016,4,NA,wet,2,190,262,65,11,346,0,0,0,5,8,1,2,16,1,2,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,4,NA,wet,3,493,801,92,2,130,3,0,0,1,0,3,0,0,1,1,0,5,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
2016,4,NA,wet,4,0,180,62,0,615,4,12,3,3,0,2,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,4,NA,wet,5,0,2156,149,429,139,0,0,13,9,80,0,0,0,0,20,4,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0
2016,4,NA,wet,6,545,392,228,523,889,12,0,4,48,16,11,0,0,8,21,12,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,9,NA,dry,1,3528,797,322,1321,398,0,0,86,15,2,0,0,82,5,23,65,7,0,3,3,0,2,0,0,29,18,1,0,0,0,19,0
2017,9,NA,dry,2,931,1485,60,357,749,15,14,3,4,0,6,0,44,0,0,1,12,0,0,3,0,2,0,0,0,0,0,0,0,0,3,0
2017,9,NA,dry,3,1805,1097,71,22,297,12,0,3,13,0,0,0,0,173,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,9,NA,dry,4,698,236,2,12,146,0,0,3,9,0,0,0,0,9,10,15,1,0,0,0,0,0,0,0,70,0,1,0,0,0,5,0
2017,9,NA,dry,5,1923,274,33,240,0,1,70,15,4,0,0,0,0,6,97,94,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
2017,9,NA,dry,6,690,138,59,43,277,6,0,4,15,5,0,0,0,11,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
2018,4,NA,wet,1,2458,1404,418,976,867,0,16,61,6,35,24,15,66,17,15,0,15,0,12,3,10,0,0,0,267,0,0,0,0,0,2,0
2018,4,NA,wet,2,296,1521,186,696,622,1,10,0,8,0,10,0,12,0,18,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2018,4,NA,wet,3,210,530,78,17,406,5,0,0,0,36,1,7,0,0,15,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2018,4,NA,wet,4,194,112,55,0,712,2,0,17,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,4,NA,wet,5,0,185,100,114,584,0,0,12,0,0,2,1,0,9,26,0,7,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0
2018,4,NA,wet,6,1050,20,426,374,472,9,0,34,34,36,67,1,39,11,12,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,4,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
