date,clan,name,higher,lower,description,reason,comments
2009-04-08,F,F-128,F-139,F-006,"F-006+F-140+F-129+F-097+F-142+F-143+F-130+F-132 drop to ranks 12-19, between F-128 and F-109, F-007+F-138+F-139+F-128 increase to ranks 8-11, between F-126 and F-006",female coup,
2009-04-10,F,M-141,A-142,A-166,"M-141 drops to rank 34, between A-142 and A-166",male coup,
2009-04-11,L,L-190,L-245,L-325,"L-190+L-325 drop to ranks 72+73, to the last position among residents",female coup,
2009-04-11,L,L-325,L-190,M-104,"L-190+L-325 drop to ranks 72+73, to the last position among residents",female coup,
2009-07-04,L,L-300,L-298,L-180,"L-300 drops to rank 11, between L-298 and L-180",female coup,
2009-07-15,A,A-204,A-253,A-258,"A-204+A-258 drop to ranks 37-38, between A-253 and A-139",female coup,
2009-07-15,A,A-258,A-204,A-139,"A-204+A-258 drop to ranks 37-38, between A-253 and A-139",female coup,
2009-07-28,S,M-262,M-261,M-271,"immigration; M-262 joins hierarchy in rank 36, between M-261 and M-271",male coup,
2009-08-07,M,M-310,M-305,M-311,"M-310+M-311+M-279+M-277 drop to ranks 8-11, between M-305 and M-147, M-099+M-297+M-298+M-272+M-273+M-248+M-249 drop to ranks 18-24, between M-263 and M-236, M-295+M-296+M-260+M-304+M-239 drop to ranks 31-35, between M-268 and M-148",female coup,
2009-08-07,M,M-311,M-310,M-279,"M-310+M-311+M-279+M-277 drop to ranks 8-11, between M-301 and M-147, M-099+M-297+M-298+M-272+M-273+M-248+M-249 drop to ranks 18-24, between M-263 and M-236, M-295+M-296+M-260+M-304+M-239 drop to ranks 31-35, between M-268 and M-148",female coup,
2009-08-07,M,M-279,M-311,M-277,"M-310+M-311+M-279+M-277 drop to ranks 8-11, between M-301 and M-147, M-099+M-297+M-298+M-272+M-273+M-248+M-249 drop to ranks 18-24, between M-263 and M-236, M-295+M-296+M-260+M-304+M-239 drop to ranks 31-35, between M-268 and M-148",female coup,
2009-08-07,M,M-277,M-279,M-147,"M-310+M-311+M-279+M-277 drop to ranks 8-11, between M-301 and M-147, M-099+M-297+M-298+M-272+M-273+M-248+M-249 drop to ranks 18-24, between M-263 and M-236, M-295+M-296+M-260+M-304+M-239 drop to ranks 31-35, between M-268 and M-148",female coup,
2009-08-07,M,M-295,M-268,M-296,"M-310+M-311+M-279+M-277 drop to ranks 8-11, between M-301 and M-147, M-099+M-297+M-298+M-272+M-273+M-248+M-249 drop to ranks 18-24, between M-263 and M-236, M-295+M-296+M-260+M-304+M-239 drop to ranks 31-35, between M-268 and M-148",female coup,
2009-08-07,M,M-296,M-295,M-260,"M-310+M-311+M-279+M-277 drop to ranks 8-11, between M-301 and M-147, M-099+M-297+M-298+M-272+M-273+M-248+M-249 drop to ranks 18-24, between M-263 and M-236, M-295+M-296+M-260+M-304+M-239 drop to ranks 31-35, between M-268 and M-148",female coup,
2009-08-07,M,M-260,M-296,M-304,"M-310+M-311+M-279+M-277 drop to ranks 8-11, between M-301 and M-147, M-099+M-297+M-298+M-272+M-273+M-248+M-249 drop to ranks 18-24, between M-263 and M-236, M-295+M-296+M-260+M-304+M-239 drop to ranks 31-35, between M-268 and M-148",female coup,
2009-08-07,M,M-304,M-260,M-239,"M-310+M-311+M-279+M-277 drop to ranks 8-11, between M-301 and M-147, M-099+M-297+M-298+M-272+M-273+M-248+M-249 drop to ranks 18-24, between M-263 and M-236, M-295+M-296+M-260+M-304+M-239 drop to ranks 31-35, between M-268 and M-148",female coup,
2009-08-07,M,M-239,M-304,M-148,"M-310+M-311+M-279+M-277 drop to ranks 8-11, between M-301 and M-147, M-099+M-297+M-298+M-272+M-273+M-248+M-249 drop to ranks 18-24, between M-263 and M-236, M-295+M-296+M-260+M-304+M-239 drop to ranks 31-35, between M-268 and M-148",female coup,
2009-08-07,M,M-099,M-263,M-297,"M-310+M-311+M-279+M-277 drop to ranks 8-11, between M-301 and M-147, M-099+M-297+M-298+M-272+M-273+M-248+M-249 drop to ranks 18-24, between M-263 and M-236, M-295+M-296+M-260+M-304+M-239 drop to ranks 31-35, between M-268 and M-148",female coup,
2009-08-07,M,M-297,M-099,M-298,"M-310+M-311+M-279+M-277 drop to ranks 8-11, between M-301 and M-147, M-099+M-297+M-298+M-272+M-273+M-248+M-249 drop to ranks 18-24, between M-263 and M-236, M-295+M-296+M-260+M-304+M-239 drop to ranks 31-35, between M-268 and M-148",female coup,
2009-08-07,M,M-298,M-297,M-272,"M-310+M-311+M-279+M-277 drop to ranks 8-11, between M-301 and M-147, M-099+M-297+M-298+M-272+M-273+M-248+M-249 drop to ranks 18-24, between M-263 and M-236, M-295+M-296+M-260+M-304+M-239 drop to ranks 31-35, between M-268 and M-148",female coup,
2009-08-07,M,M-272,M-298,M-273,"M-310+M-311+M-279+M-277 drop to ranks 8-11, between M-301 and M-147, M-099+M-297+M-298+M-272+M-273+M-248+M-249 drop to ranks 18-24, between M-263 and M-236, M-295+M-296+M-260+M-304+M-239 drop to ranks 31-35, between M-268 and M-148",female coup,
2009-08-07,M,M-273,M-272,M-248,"M-310+M-311+M-279+M-277 drop to ranks 8-11, between M-301 and M-147, M-099+M-297+M-298+M-272+M-273+M-248+M-249 drop to ranks 18-24, between M-263 and M-236, M-295+M-296+M-260+M-304+M-239 drop to ranks 31-35, between M-268 and M-148",female coup,
2009-08-07,M,M-248,M-273,M-249,"M-310+M-311+M-279+M-277 drop to ranks 8-11, between M-301 and M-147, M-099+M-297+M-298+M-272+M-273+M-248+M-249 drop to ranks 18-24, between M-263 and M-236, M-295+M-296+M-260+M-304+M-239 drop to ranks 31-35, between M-268 and M-148",female coup,
2009-08-07,M,M-249,M-248,M-236,"M-310+M-311+M-279+M-277 drop to ranks 8-11, between M-301 and M-147, M-099+M-297+M-298+M-272+M-273+M-248+M-249 drop to ranks 18-24, between M-263 and M-236, M-295+M-296+M-260+M-304+M-239 drop to ranks 31-35, between M-268 and M-148",female coup,
2009-12-12,E,E-195,E-196,E-162,"E-195 adopted by E-095, joins hierarchy in rank 20, between E-196 and E-162",adoption,
2010-02-03,M,M-295,M-277,M-296,"M-295+M-296+M-260+M-304+M-239 increase to ranks 12-16, between M-277 and M-147",female coup,
2010-02-03,M,M-296,M-295,M-260,"M-295+M-296+M-260+M-304+M-239 increase to ranks 12-16, between M-277 and M-147",female coup,
2010-02-03,M,M-260,M-296,M-304,"M-295+M-296+M-260+M-304+M-239 increase to ranks 12-16, between M-277 and M-147",female coup,
2010-02-03,M,M-304,M-260,M-239,"M-295+M-296+M-260+M-304+M-239 increase to ranks 12-16, between M-277 and M-147",female coup,
2010-02-03,M,M-239,M-304,M-147,"M-295+M-296+M-260+M-304+M-239 increase to ranks 12-16, between M-277 and M-147",female coup,
2010-03-03,A,S-123,M-231,M-264,S-123 dominant over M-264,male coup,
