date,clan,name,higher,lower,description,reason,comments
2018-02-25,N,N-279,N-212,N-266,N-143 matriline overthrows N-172 + N-175 matrilines,female coup,check interactions between N-172 matriline and others
2018-02-25,N,N-266,N-279,N-268,N-143 matriline overthrows N-172 + N-175 matrilines,female coup,check interactions between N-172 matriline and others
2018-05-18,T,T-171,T-180,T-157,T-135 + T-180 dominate T-157,female coup,
2018-05-18,T,T-157,T-171,T-202,T-135 + T-180 dominate T-157,female coup,
2018-05-18,T,T-202,T-157,T-199,T-135 + T-180 dominate T-157,female coup,
2018-05-18,T,T-199,T-202,T-194,T-135 + T-180 dominate T-157,female coup,
2018-05-18,T,T-194,T-199,T-158,T-135 + T-180 dominate T-157,female coup,
2018-06-24,A,A-259,A-370,A-398,A-287 (and later also others of A-238's matriline) dominates A-335,female coup,
2018-06-24,A,A-398,A-259,A-399,A-287 (and later also others of A-238's matriline) dominates A-335,female coup,
2018-06-24,A,A-399,A-398,A-436,A-287 (and later also others of A-238's matriline) dominates A-335,female coup,
2018-06-24,A,A-436,A-399,A-335,A-287 (and later also others of A-238's matriline) dominates A-335,female coup,
2018-06-24,A,A-335,A-436,A-461,A-287 (and later also others of A-238's matriline) dominates A-335,female coup,
2019-01-03,S,S-165,S-294,S-295,S-234 dominates S-165 and S-235,female coup,
2019-01-03,S,S-295,S-165,S-308,S-234 dominates S-165 and S-235,female coup,
2019-01-03,S,S-235,S-297,S-294,S-234 dominates S-165 and S-235,female coup,
2019-01-03,S,S-294,S-235,S-165,S-234 dominates S-165 and S-235,female coup,
2019-06-17,A,A-194,A-431,A-445,"A-353, A-457 + A-458 dominate A-194 + A-445",female coup,
2019-06-17,A,A-445,A-194,A-514,"A-353, A-457 + A-458 dominate A-194 + A-445",female coup,
2019-06-17,A,A-514,A-445,A-411,"A-353, A-457 + A-458 dominate A-194 + A-445",female coup,
2019-06-17,A,A-411,A-514,A-470,"A-353, A-457 + A-458 dominate A-194 + A-445",female coup,
2019-11-14,M,M-381,M-403,M-467,M-296 coalition overtakes M-381 coalition but stays below M-295 coalition,female coup,
2019-11-14,M,M-467,M-381,M-429,M-296 coalition overtakes M-381 coalition but stays below M-295 coalition,female coup,
2019-11-14,M,M-429,M-467,M-473,M-296 coalition overtakes M-381 coalition but stays below M-295 coalition,female coup,
2019-11-14,M,M-473,M-429,M-472,M-296 coalition overtakes M-381 coalition but stays below M-295 coalition,female coup,
2019-11-14,M,M-472,M-473,M-430,M-296 coalition overtakes M-381 coalition but stays below M-295 coalition,female coup,
2019-11-14,M,M-430,M-472,M-421,M-296 coalition overtakes M-381 coalition but stays below M-295 coalition,female coup,
2019-11-16,S,S-364,S-363,S-185,"S-364 joins hierarchy in rank 30, between S-363 (adopted cub) and S-185",adoption,
