"ID","origin","destination","date"
"T-222","T","N",2020-07-12
"A-589","A","E",2020-08-12
"E-279","E","L",2020-08-12
"F-301","F","E",2020-08-12
"S-259","S","N",2020-08-12
"F-303","F","N",2020-09-12
"L-387","S","A",2020-09-12
"T-225","T","F",2020-10-12
"F-305","F","L",2020-11-12
"L-397","L","F",2020-11-12
"F-306","F","F",2020-11-12
"M-439","M","F",2020-12-12
"L-401","L","F",2021-01-12
"N-325","N","T",2021-01-12
"A-598","A","E",2021-02-12
"F-309","F","A",2021-02-12
"S-310","S","T",2021-03-12
"S-311","S","F",2021-03-12
"N-331","N","E",2021-04-12
"T-232","T","L",2021-04-12
"T-233","T","M",2021-04-12
"S-312","S","E",2021-05-12
"F-316","F","L",2021-06-12
"L-286","A","E",2021-06-12
"M-430","M","N",2021-06-12
"A-602","A","T",2021-08-12
"E-254","E","F",2021-08-12
"F-318","F","A",2021-08-12
"M-444","M","S",2021-08-12
"T-234","T","A",2021-08-12
"A-582","M","L",2021-09-12
"F-319","F","T",2021-09-12
"F-321","F","M",2021-09-12
"E-289","E","E",2021-09-12
"M-447","M","E",2021-10-12
"M-448","M","E",2021-10-12
"N-304","N","T",2021-10-12
"L-404","L","N",2021-11-12
"M-450","M","A",2021-11-12
"M-451","M","M",2021-11-12
"E-291","E","A",2021-12-12
"F-325","F","S",2021-12-12
"E-295","E","F",2022-01-12
"T-180","A","F",2022-01-12
"L-407","L","L",2022-02-12
"A-475","F","N",2022-03-12
"A-605","A","E",2022-03-12
"A-606","A","E",2022-03-12
"M-454","M","N",2022-03-12
"M-455","M","E",2022-03-12
"M-456","M","N",2022-03-12
"M-457","M","F",2022-03-12
"E-296","E","L",2022-04-12
"N-336","N","A",2022-04-12
"A-608","A","A",2022-05-12
"A-531","S","A",2022-06-12
"L-410","L","A",2022-06-12
"T-243","T","E",2022-06-12
"T-245","T","F",2022-06-12
"F-249","S","T",2022-07-12
"S-322","S","A",2022-07-12
"S-323","S","A",2022-07-12
"S-324","S","M",2022-07-12
"E-289","E","M",2022-09-12
"E-297","E","A",2022-09-12
"N-337","N","A",2022-09-12
"F-321","M","A",2022-10-12
"F-331","F","S",2022-10-12
"F-332","F","A",2022-10-12
"M-463","M","L",2022-10-12
"M-466","M","A",2022-10-12
"N-338","N","L",2022-10-12
"N-339","N","E",2022-10-12
"A-613","A","L",2022-11-12
"S-255","A","L",2022-11-12
"A-533","A","M",2022-12-12
"M-469","M","S",2022-12-12
"N-341","N","E",2022-12-12
"A-044","X","A",1996-04-12
"A-047","X","A",1996-04-12
"A-045","X","A",1996-04-12
"A-042","X","A",1996-04-12
"M-053","M","A",1996-04-12
"A-051","X","A",1996-04-12
"A-011","X","A",1996-04-12
"A-050","X","A",1996-04-12
"A-048","X","A",1996-04-12
"E-041","X","E",1996-04-12
"E-040","X","E",1996-04-12
"F-040","X","F",1996-04-12
"F-041","X","F",1996-04-12
"F-042","X","F",1996-04-12
"F-043","X","F",1996-04-12
"L-042","X","L",1996-04-12
"L-041","X","L",1996-04-12
"L-043","X","L",1996-04-12
"L-040","X","L",1996-04-12
"L-047","X","L",1996-04-12
"L-048","X","L",1996-04-12
"M-045","X","M",1996-04-12
"M-008","X","M",1996-04-12
"M-010","X","M",1996-04-12
"M-040","X","M",1996-04-12
"M-046","X","M",1996-04-12
"M-050","X","M",1996-04-12
"M-052","X","M",1996-04-12
"N-044","X","N",1996-04-12
"S-040","X","S",1996-04-12
"T-003","X","T",1996-04-12
"T-006","X","T",1996-04-12
