"ID","origin","destination","date"
"M-173","M","M",2003-05-12
"E-103","E","L",2003-06-12
"L-153","L","M",2003-07-12
"L-154","L","T",2003-07-12
"A-203","A","A",2003-07-12
"A-205","A","A",2003-07-12
"A-206","A","M",2003-08-12
"S-074","S","T",2003-08-12
"S-075","S","M",2003-08-12
"M-177","M","M",2003-08-12
"E-106","E","A",2003-09-12
"L-128","A","L",2003-09-12
"M-179","M","N",2003-09-12
"N-110","A","F",2003-09-12
"S-076","S","M",2003-11-12
"A-214","A","F",2003-12-12
"N-134","N","N",2003-12-12
"A-216","A","M",2004-01-12
"E-107","E","A",2004-01-12
"S-078","S","E",2004-01-12
"A-215","A","A",2004-01-12
"A-218","A","M",2004-02-12
"A-222","A","F",2004-02-12
"F-085","F","E",2004-02-12
"A-223","A","M",2004-03-12
"A-228","A","L",2004-03-12
"N-135","N","L",2004-03-12
"N-136","N","L",2004-03-12
"F-086","F","E",2004-04-12
"M-190","M","L",2004-04-12
"A-230","A","F",2004-05-12
"L-151","A","L",2004-05-12
"N-137","N","L",2004-05-12
"N-138","N","A",2004-05-12
"N-139","N","N",2004-05-12
"A-203","A","T",2004-06-12
"F-088","F","T",2004-06-12
"L-167","L","A",2004-06-12
"S-080","S","N",2004-06-12
"F-090","F","F",2004-06-12
"M-192","M","M",2004-06-12
"A-231","A","T",2004-07-12
"A-205","A","L",2004-08-12
"F-092","F","S",2004-08-12
"F-093","F","N",2004-08-12
"N-139","N","A",2004-08-12
"M-151","E","F",2004-09-12
"N-146","N","E",2004-09-12
"N-147","N","A",2004-09-12
"A-206","M","E",2004-10-12
"A-236","A","L",2004-10-12
"N-148","N","F",2004-10-12
"T-099","T","L",2004-10-12
"E-113","E","A",2004-11-12
"L-174","L","A",2004-11-12
"E-114","E","E",2004-11-12
"M-201","M","A",2005-01-12
"T-100","T","T",2005-01-12
"S-082","S","L",2005-02-12
"M-173","M","A",2005-03-12
"N-151","N","M",2005-03-12
"S-058","L","N",2005-03-12
"A-240","A","A",2005-03-12
"A-247","A","L",2005-05-12
"A-248","A","L",2005-05-12
"L-185","L","A",2005-05-12
"A-246","A","A",2005-05-12
"A-247","L","M",2005-06-12
